title,url,points,num_comments,category,created_at,search_term,metric
Is AI Em Dash Addiction Real? A Model Comparison,https://blog.mikegchambers.com/posts/llm-em-dash-obsession/,3,2,LEVEL_1_AWARE,2026-03-20T14:51:13Z,AI addiction,ai_psychosis
Reason – break screen addiction using AI,https://reason-app.com/,2,1,LEVEL_1_AWARE,2026-03-30T00:39:35Z,AI addiction,ai_psychosis
Vibe Coding Is the New Slot Machine,https://www.ssp.sh/brain/generative-ai-and-its-addiction/,3,1,LEVEL_1_AWARE,2026-03-09T16:59:41Z,AI addiction,ai_psychosis
AI for Children: From Game Addiction to Creative Agency,https://iamsweeper.com/2603-ai-for-children-from-game-addiction-to-creative-agency/,1,0,LEVEL_1_AWARE,2026-03-24T11:40:30Z,AI addiction,ai_psychosis
Ask HN: Have top AI research institutions just given up on the idea of safety?,https://news.ycombinator.com/item?id=47152355,81,89,LEVEL_1_AWARE,2026-02-25T14:55:20Z,AI addiction,ai_psychosis
Show HN: Tropes.fyi – Name and shame AI writing,https://tropes.fyi/,5,3,LEVEL_1_AWARE,2026-02-20T14:58:25Z,AI addiction,ai_psychosis
Show HN: I gave my AI agent $50 and let it trade on Kalshi,https://twitter.com/JackDavis720/status/2023243630492746062,2,0,LEVEL_1_AWARE,2026-02-16T03:52:03Z,AI addiction,ai_psychosis
What parents should know about the social media addiction trials,https://www.transparencycoalition.ai/news/tcai-guide-what-parents-should-know-about-the-social-media-addiction-trials,1,0,LEVEL_1_AWARE,2026-03-28T02:48:31Z,AI addiction,ai_psychosis
"Show HN: Micro – apps without ads, algorithms or tracking",https://micro.mu,6,4,LEVEL_1_AWARE,2026-03-26T16:14:15Z,AI addiction,ai_psychosis
Show HN: MAGA or Not? Political alignment scores for people and companies,https://magaornot.ai,7,3,LEVEL_1_AWARE,2026-03-22T17:55:21Z,AI addiction,ai_psychosis
Ask HN: Where to find VC fund or investor for project in Europe?,https://news.ycombinator.com/item?id=46679100,8,5,LEVEL_1_AWARE,2026-01-19T14:04:48Z,AI addiction,ai_psychosis
Show HN: I built a mobile-web AI series generator,https://www.kiricast.com,2,0,LEVEL_1_AWARE,2026-03-04T12:59:10Z,AI addiction,ai_psychosis
Forge – Automate 3NF Schema Generation from Nested JSON in BigQuery/Snowflake,https://news.ycombinator.com/item?id=46975075,1,1,LEVEL_1_AWARE,2026-02-11T14:05:04Z,AI addiction,ai_psychosis
AI has failed to replace a single software application or feature,https://news.ycombinator.com/item?id=46827128,21,23,LEVEL_1_AWARE,2026-01-30T17:22:49Z,AI addiction,ai_psychosis
Show HN: Light Lynx – polished light app and automation based on Zigbee2MQTT,https://lightlynx.eu/,1,0,LEVEL_1_AWARE,2026-02-12T23:48:49Z,AI addiction,ai_psychosis
Ask HN: AI evaluation for an EV charger without additional installation?,https://news.ycombinator.com/item?id=47354120,2,1,LEVEL_1_AWARE,2026-03-12T17:15:26Z,AI addiction,ai_psychosis
Show HN: I lost billable hours forgetting timers. I turned my calendar into a DB,https://www.timescanner.io/,3,2,LEVEL_1_AWARE,2026-03-12T16:58:23Z,AI addiction,ai_psychosis
Show HN: StudyBuddy – an AI study assistant that just crossed 1k users,https://www.studybuddy.rest/,2,0,LEVEL_1_AWARE,2026-01-28T19:03:46Z,AI addiction,ai_psychosis
Show HN: I Built an AI-Powered Pull Request Review Tool,https://github.com/HighGarden-Studio/HighReview,1,0,LEVEL_1_AWARE,2026-02-07T08:58:06Z,AI addiction,ai_psychosis
Document poisoning in RAG systems: How attackers corrupt AI's sources,https://aminrj.com/posts/rag-document-poisoning/,155,48,LEVEL_1_AWARE,2026-03-12T13:40:36Z,AI addiction,ai_psychosis
"Show HN: Gambit, an open-source agent harness for building reliable AI agents",https://github.com/bolt-foundry/gambit,91,27,LEVEL_1_AWARE,2026-01-16T00:13:25Z,AI addiction,ai_psychosis
Launch HN: Sonarly (YC W26) – AI agent to triage and fix your production alerts,https://sonarly.com/,30,17,LEVEL_1_AWARE,2026-02-17T17:03:09Z,AI addiction,ai_psychosis
Show HN: Context Plugins – API context for AI coding assistants,https://www.apimatic.io/product/context-plugins,8,6,LEVEL_1_AWARE,2026-03-26T14:26:27Z,AI addiction,ai_psychosis
Show HN: Running AI agents across environments needs a proper solution,https://github.com/liquidos-ai/Odyssey,8,5,LEVEL_1_AWARE,2026-03-24T11:57:01Z,AI addiction,ai_psychosis
Show HN: Emmtrix ONNX-to-C Code Generator for Edge AI Deployment,https://github.com/emmtrix/emx-onnx-cgen,6,0,LEVEL_1_AWARE,2026-02-03T18:27:13Z,AI addiction,ai_psychosis
Show HN: Fabi 2.0 – An AI analyst that connects to all your data sources,https://news.ycombinator.com/item?id=46604166,5,1,LEVEL_1_AWARE,2026-01-13T17:19:04Z,AI addiction,ai_psychosis
Show HN: Arcane Agents – A visual control room for terminal AI agents,https://github.com/thomasrice/arcane-agents,4,3,LEVEL_1_AWARE,2026-03-05T19:14:16Z,AI addiction,ai_psychosis
Show HN: A Vaadin Algebra and Calculus Solver Built with AI Assistance,https://news.ycombinator.com/item?id=47116251,4,1,LEVEL_1_AWARE,2026-02-23T00:04:16Z,AI addiction,ai_psychosis
Show HN: Starcraft2 replay rendering engine and AI coach,https://www.starcraft2.ai/en/replay/72228e2b-569e-440d-9fcc-93e4a1f5a4b9,4,0,LEVEL_1_AWARE,2026-03-03T04:09:00Z,AI addiction,ai_psychosis
Show HN: Leo News – AI newsbots with different political perspectives,https://leonews.ai/,3,0,LEVEL_1_AWARE,2026-03-30T15:33:22Z,AI addiction,ai_psychosis
"Show HN: Vexp – graph-RAG context engine, 65-70% fewer tokens for AI agents",https://news.ycombinator.com/item?id=47113273,3,0,LEVEL_1_AWARE,2026-02-22T18:14:23Z,AI addiction,ai_psychosis
Show HN: Finnish Humanizer – 26 patterns for detecting AI-generated Finnish text,https://github.com/Hakku/finnish-humanizer,3,0,LEVEL_1_AWARE,2026-02-22T14:10:17Z,AI addiction,ai_psychosis
"Ask HN: Are you worried, and care, about AI stealing your code/secrets?",https://news.ycombinator.com/item?id=46629525,2,6,LEVEL_1_AWARE,2026-01-15T08:03:47Z,AI addiction,ai_psychosis
Show HN: Direct to silicon DLinear AI accelerator on the Sky130 open-source node,https://github.com/Aperion-Technologies/Aperion-DLinear-ASIC-Core,2,2,LEVEL_1_AWARE,2026-03-05T19:07:34Z,AI addiction,ai_psychosis
Show HN: Small demo of AI for finding common ground on divisive topics,https://news.ycombinator.com/item?id=46808001,2,2,LEVEL_1_AWARE,2026-01-29T10:01:42Z,AI addiction,ai_psychosis
Show HN: AI Lint your agents work to build faster and better,https://news.ycombinator.com/item?id=46744650,2,2,LEVEL_1_AWARE,2026-01-24T15:58:02Z,AI addiction,ai_psychosis
Show HN: Time Machine – Debug AI Agents by Forking and Replaying from Any Step,https://news.ycombinator.com/item?id=47315394,2,1,LEVEL_1_AWARE,2026-03-09T20:55:40Z,AI addiction,ai_psychosis
Show HN: APIsec MCP Audit – Audit what your AI agents can access,https://github.com/apisec-inc/mcp-audit,2,1,LEVEL_1_AWARE,2026-01-20T14:33:23Z,AI addiction,ai_psychosis
Show HN: Modern AI assisted goals and performance management,https://prfrm.architectfwd.com,2,0,LEVEL_1_AWARE,2026-04-01T19:04:55Z,AI addiction,ai_psychosis
Social Craft AI-How well connected is your LinkedIn Network?,https://news.ycombinator.com/item?id=47356937,2,0,LEVEL_1_AWARE,2026-03-12T20:54:02Z,AI addiction,ai_psychosis
Show HN: AI trading platform with 34% returns (3 months) – seeking acquisition,https://acis-trading.com/,2,0,LEVEL_1_AWARE,2026-03-06T18:09:12Z,AI addiction,ai_psychosis
Show HN: AI Studio – Multi-Persona AI with WhatsApp and Memory,https://council.gameinghub.com/,2,0,LEVEL_1_AWARE,2026-02-23T22:30:21Z,AI addiction,ai_psychosis
Show HN: AFS – filesystem-native memory layer for AI agents,https://news.ycombinator.com/item?id=47062802,2,0,LEVEL_1_AWARE,2026-02-18T16:31:57Z,AI addiction,ai_psychosis
Show HN: PolyMCP – AI-Callable Python and TS Tools with Inspector and Apps,https://news.ycombinator.com/item?id=46966000,2,0,LEVEL_1_AWARE,2026-02-10T20:03:43Z,AI addiction,ai_psychosis
Show HN: Grok Video 10s – Grok AI video generation and creator contest,https://grok-video.org/,2,0,LEVEL_1_AWARE,2026-02-10T04:36:56Z,AI addiction,ai_psychosis
Show HN: Super AI Markets – Testing Ground for AI Shopping Agent Security,https://superaimarkets.com/,2,0,LEVEL_1_AWARE,2026-01-16T23:58:45Z,AI addiction,ai_psychosis
Show HN: AbleMouse AI. Nose-point cursor. Screen-size independent,https://github.com/aradzhabov/AbleMouse,2,0,LEVEL_1_AWARE,2026-01-07T18:11:37Z,AI addiction,ai_psychosis
Gemini AI Help and Support: What to Do After a Cryptocurrency Investment Scam,https://news.ycombinator.com/item?id=47318462,1,1,LEVEL_1_AWARE,2026-03-10T02:32:58Z,AI addiction,ai_psychosis
Show HN: AIBenchy – Independent AI Leaderboard,https://aibenchy.com,1,1,LEVEL_1_AWARE,2026-02-18T02:31:35Z,AI addiction,ai_psychosis
Show HN: Null0 – AI Clone; Open-source CLI that gives AI your personal context,https://github.com/amaar-mc/null0-cli,1,1,LEVEL_1_AWARE,2026-02-06T18:34:50Z,AI addiction,ai_psychosis
Show HN: Multi-attribute decision frameworks for tech purchases,https://news.ycombinator.com/item?id=46955606,1,4,LEVEL_1_AWARE,2026-02-10T05:01:51Z,ChatGPT obsession,ai_psychosis
"Show HN: Matrix OS, like Lovable, but for personal apps",https://matrix-os.com/,4,1,LEVEL_1_AWARE,2026-04-03T16:59:23Z,ChatGPT obsession,ai_psychosis
Show HN: FaceTime-style calls with an AI Companion (Live2D and long-term memory),https://thebeni.ai/,34,25,LEVEL_1_AWARE,2026-01-25T23:13:06Z,AI companion,ai_psychosis
