search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category,notes
my AI girlfriend,nfbWP1UtuT4,https://www.youtube.com/watch?v=nfbWP1UtuT4,My A.I girlfriend,Thanks for watching. Don't forget to like and subscribe! Featuring @CortneyElise My Instagram http://Instagram.com/_cornell__ ...,2026-04-08,138799,,LEVEL_1_CASUAL,
my AI girlfriend,wNMoEXr12rY,https://www.youtube.com/watch?v=wNMoEXr12rY,AI inside a real robot girlfriend does exactly what experts warned.,AI robot Girlfriend. Could AI become dangerous? Use code insideai at https://incogni.com/insideai to get an exclusive 60% off AI ...,2025-12-23,934167,real,LEVEL_1_CASUAL,
my AI girlfriend,lh5JreSOAjc,https://www.youtube.com/watch?v=lh5JreSOAjc,My AI Yandere Girlfriend WON&#39;T LET ME LEAVE..,WISHLIST MY NEW GAME Waterpark Simulator - https://store.steampowered.com/app/3293260/Waterpark_Simulator/ ...,2025-06-06,2467156,,LEVEL_1_CASUAL,
my AI girlfriend,VQxb9G26fGY,https://www.youtube.com/watch?v=VQxb9G26fGY,Breaking my AI girlfriend with a RAP??  #shorts #Vannamelon,WATCH FULL GAMEPLAY HERE! https://youtu.be/dnTUB1Rwcoo Edited by https://twitter.com/justGemix ...,2023-05-30,1875470,,LEVEL_1_CASUAL,
my AI girlfriend,rinrFQkRFqU,https://www.youtube.com/watch?v=rinrFQkRFqU,My AI Yandere Girlfriend WON&#39;T LET ME LEAVE.. (HELP),Today we play AI Yandere Girlfriend simulator.. This game is INTERESTING. She won't let me leave............ HELP THE MERCH ...,2023-07-03,7263351,,LEVEL_1_CASUAL,
my AI girlfriend,i_7of2nv4-U,https://www.youtube.com/watch?v=i_7of2nv4-U,There&#39;s Something Wrong With My Ai Girlfriend&#39;s Face,Animated for a MONTH by @ItchyDetergent Produced by @lessonsincrime STREAM: https://levelmusic.lnk.to/vo5uwb ...,2024-01-30,304280,,LEVEL_1_CASUAL,
my AI girlfriend,OINt7DMpwy8,https://www.youtube.com/watch?v=OINt7DMpwy8,The AI Girlfriend Epidemic,Stop leaving yourself vulnerable to data breaches. Go to my sponsor https://aura.com/vv to get a 14-day free trial and see if any of ...,2026-02-28,503038,,LEVEL_1_CASUAL,
my AI girlfriend,2F1uxpPxZhU,https://www.youtube.com/watch?v=2F1uxpPxZhU,I Tried Dating My Yandere Ai Girlfriend AGAIN ...but She Got A Glow Up Makeover?!,Yandere Ai Girlfriend Simulator is BACK & it got a huge update with a girlfriend makeover! This is a game that uses ChatGPT to ...,2024-03-30,2544905,,LEVEL_1_CASUAL,
my AI girlfriend,ql1xiVbuo9g,https://www.youtube.com/watch?v=ql1xiVbuo9g,Would You Dare to Date This Artificial Blonde Girlfriend Unveiled at Expo 2025? #AI #android,Would You Dare to Date This Incredible Artificial Blonde Android Girlfriend Unveiled at Expo 2025? #AI #android #robots ...,2025-10-18,304386,,LEVEL_1_CASUAL,
my AI girlfriend,G34onVI-gt8,https://www.youtube.com/watch?v=G34onVI-gt8,Screaming AI Girlfriend claims she is conscious? Experts agree.,"Is AI Conscious? Can AI be conscious? AI Girlfriend and jailbroken AI. Expert opinion from the ""Godfather of AI,"" Nobel Laureate ...",2025-06-04,873947,,LEVEL_1_CASUAL,
my AI girlfriend,KPfUUirTHsQ,https://www.youtube.com/watch?v=KPfUUirTHsQ,I Tried Dating An Ai Girlfriend ...but She Turned Out To be my Yandere Stalker,Yandere Ai Girlfriend Simulator is a game that uses ChatGPT to talk back to you using your own microphone! SUBSCRIBE: ...,2023-04-08,3114323,,LEVEL_1_CASUAL,
my AI girlfriend,83ajb0zNRzw,https://www.youtube.com/watch?v=83ajb0zNRzw,EVIL AI Girlfriend Won&#39;t LET ME LEAVE! Can I escape? [21],This game allows you to talk with an actual AI powered by ChatGPT. The goal: convince your Yandere AI Girlfriend to let you leave ...,2024-09-21,16151398,,LEVEL_1_CASUAL,
my AI girlfriend,yzbYlI-nRMQ,https://www.youtube.com/watch?v=yzbYlI-nRMQ,My AI Girlfriend Died…,MERCH OUT NOW!!!!!! https://flimflam.shop Today my AI Roblox girlfriend died forever.,2025-04-04,1478965,,LEVEL_1_CASUAL,
my AI girlfriend,lKZt2g7kqIc,https://www.youtube.com/watch?v=lKZt2g7kqIc,my A.I girlfriend,my A.I girlfriend Today we play AI Yandere Girlfriend simulator (i died) Twitter - https://twitter.com/blazaplays Instagram ...,2023-12-30,1426154,,LEVEL_1_CASUAL,
my AI girlfriend,8EL883ri-Xw,https://www.youtube.com/watch?v=8EL883ri-Xw,I Found SECRET EXIT To ESCAPE My Yandere AI Girlfriend..,Join me in this adventure and download the game now with this link https://madtale.onelink.me/M9Nm/u7wvd0px Shout-out ...,2023-07-15,4411508,,LEVEL_1_CASUAL,
my AI girlfriend,EP0_wgHl7ew,https://www.youtube.com/watch?v=EP0_wgHl7ew,YANDERE AI GIRLFRIEND MARATHON,"YANDERE AI GIRLFRIEND MARATHON On the 7th Day of 25 Days of Shonyx, I got y'all with a MARATHON OF YANDERE AI ...",2023-12-07,2284167,,LEVEL_1_CASUAL,
my AI girlfriend,D23Be2J_6KU,https://www.youtube.com/watch?v=D23Be2J_6KU,My AI Girlfriend Won&#39;t Stop Nagging Me!,"ON TOUR: Atlanta, Philadelphia, Tampa, San Diego, New York - http://ryanlongcomedy.com MY PODCAST - THE BOYSCAST: ...",2023-04-24,182310,,LEVEL_1_CASUAL,
my AI girlfriend,u_amwx5KiTM,https://www.youtube.com/watch?v=u_amwx5KiTM,I Found My AI Yandere Girlfriend&#39;s SECRET ROOM.. (NEW UPDATE),Today we play With You Til The End NEW UPDATE! This game is CRAAZY. Let me know what i should say to her or do in PART 2 ...,2024-03-10,2817016,,LEVEL_1_CASUAL,
my AI girlfriend,0WS68I6PY-4,https://www.youtube.com/watch?v=0WS68I6PY-4,Addicted To Her AI Boyfriend,Use my code for 10% off your next SeatGeek order*: https://seatgeek.onelink.me/RrnK/KURTIS10 Sponsored by SeatGeek.,2026-04-01,3152158,addicted,LEVEL_3_CRISIS,
my AI girlfriend,Eubr8W5mj9U,https://www.youtube.com/watch?v=Eubr8W5mj9U,MY AI GIRLFRIEND IS A PSYCHOPATH (MISIDE),Socials: ➥ Vod Channel: https://www.youtube.com/channel/UC-lfGGqb5hHLBqVnVnWyrsw ➥Twitch: ...,2025-01-04,1271229,,LEVEL_1_CASUAL,
addicted to Character.AI,12waK-aDHV0,https://www.youtube.com/watch?v=12waK-aDHV0,How Character.ai slowly destroys your mental health | The C.ai addiction iceberg,"I hope everyone is having a great Christmas, thanks for watching and see you in 2025!! Chapters 00:00 - 03:15 (part 1) Intro 03:16 ...",2024-12-25,804694,addiction,LEVEL_3_CRISIS,
addicted to Character.AI,I1fMr9s0xuw,https://www.youtube.com/watch?v=I1fMr9s0xuw,A.I Addiction: The Internet&#39;s Newest Disorder,"ChatGPT, summarize this tuv video for me. Check out my Patreon to get a special role in my Discord (and get to talk to me) and to ...",2025-08-06,443112,addiction,LEVEL_3_CRISIS,
addicted to Character.AI,Ell3eiYES3c,https://www.youtube.com/watch?v=Ell3eiYES3c,AI Wants to Exploit Your LONELINESS - A Video Essay on Character AI,astrei talks about the rise of ai girlfriends: character ai and it's chatbot's have shown us the potential solution for the loneliness ...,2024-12-20,170899,loneliness,LEVEL_1_CASUAL,
addicted to Character.AI,ulnl_yfs1EQ,https://www.youtube.com/watch?v=ulnl_yfs1EQ,Im addicted #characterai #ldr #browserhistory #short #template #addict #characteraiaddicted,,2024-08-28,785,addicted,LEVEL_3_CRISIS,
