uri,text,author_handle,like_count,reply_count,repost_count,category,created_at,search_term,metric
at://did:plc:plike46pn6bnig6vfoo6tzzj/app.bsky.feed.post/3mjpxsdkhys2q,"As I sit at Newark Airport, my flight has been cancelled with no options before tomorrow. Well played. Well. Played.",coreyryung.bsky.social,42,7,2,LEVEL_2_STRUGGLING,2026-04-17T22:26:27.159Z,flight cancelled,airline_chaos
at://did:plc:myynorv63wtiteeyoqqlvikz/app.bsky.feed.post/3mjoajb3nqk2d,"THE AVIATION FUEL SHORTAGES ARE ALREADY AFFECTING EUROPE

Lufthansa cancelled 20% of short haul flights from Monday due to fuel shortages. It actually affected me personally as I was supposed to be in Frankfurt Monday. Flight cancelled rebooked to some ludicrous route via Dublin that would take 9",militaryanalyst.bsky.social,110,8,16,LEVEL_2_STRUGGLING,2026-04-17T05:57:06.787Z,flight cancelled,airline_chaos
at://did:plc:uars6h3ipb5eh3ttvmah3yf7/app.bsky.feed.post/3mjkrkjaw4s2r,my flight home got cancelled raaaahhhh,cyanfacade.bsky.social,16,5,0,LEVEL_2_STRUGGLING,2026-04-15T20:51:23.559Z,flight cancelled,airline_chaos
at://did:plc:4wwkuh2rtgqrqr47febqmxz6/app.bsky.feed.post/3mjrqku5jnc2m,"Pilot was removed for saying something racist. 
There was no one to replace him so flight was cancelled.",drkal-orion.bsky.social,8,2,0,LEVEL_2_STRUGGLING,2026-04-18T15:22:19.410Z,flight cancelled,airline_chaos
at://did:plc:mex4jobql2totwqjvamtrzcw/app.bsky.feed.post/3mjoay5ulgc2w,"Are you sure, that they cancelled the flight due to fuel shortages? The also have two strikes in the moment and yesterday announced to close the business of their daughter company Cityliner immediately.",ct-talk24.bsky.social,22,1,0,LEVEL_2_STRUGGLING,2026-04-17T06:05:26.725Z,flight cancelled,airline_chaos
at://did:plc:cyljzptixmnnexmrppxxzzpp/app.bsky.feed.post/3mjue427a5c26,"Eidelweiss Air: we have had to make some adjustments to your flight
Translation: we cancelled the outbound section and can't find a replacement booking, but we can get you back for the same price as a round trip!",trevorabranch.bsky.social,5,1,0,LEVEL_2_STRUGGLING,2026-04-19T16:17:16.752Z,flight cancelled,airline_chaos
at://did:plc:x2bxwt7gwwfigapl573nm7sn/app.bsky.feed.post/3mjk2zymnws2i,Interviewers flight was cancelled so it's virtual now!,garaktailor.com,19,2,1,LEVEL_2_STRUGGLING,2026-04-15T14:08:26.927Z,flight cancelled,airline_chaos
at://did:plc:ulewwvuruwkyktugit6dkg4v/app.bsky.feed.post/3mjtitzr6n22h,The landscape when your flight is cancelled at the last moment and they spend the wee hours finding replacement flights for everyone but it turns out you won’t be traveling til the following night so you’ll waiting for a hotel shuttle at 4 am,asakiyume.bsky.social,9,3,0,LEVEL_2_STRUGGLING,2026-04-19T08:09:36.824Z,flight cancelled,airline_chaos
at://did:plc:kqqqbjuarl6kdvlv5oitt3tk/app.bsky.feed.post/3mjnvnyqnpc2w,"Flight got cancelled last second. We were spinning up for takeoff, then they stopped and kicked us off. Got a new flight at 5am. Get home from the airport to rest a few hours, room is flooding again. Some of my gear is wet. Have to stay up all night moving everything back out.",echosequence.space,7,1,0,LEVEL_2_STRUGGLING,2026-04-17T02:42:54.650Z,flight cancelled,airline_chaos
at://did:plc:4g5bwii7kmcgjjwjbrrkcxoc/app.bsky.feed.post/3mjrr5p5hek2q,If my flight to Malaga in July gets cancelled because there’s no jet fuel I will personally declare war on the Orange Knobhead,noracists.bsky.social,5,0,0,LEVEL_2_STRUGGLING,2026-04-18T15:32:51.699Z,flight cancelled,airline_chaos
