search_term,video_id,url,title,category,view_count,comment_count
flight cancelled nightmare,HZgwOUVyMoA,https://www.youtube.com/watch?v=HZgwOUVyMoA,Flight Canceled Know Your Rights!  English for Travel Problems B1 B2 #englishconversation #english,LEVEL_1_AWARE,4959,2
flight cancelled nightmare,SWwqapmqyNs,https://www.youtube.com/watch?v=SWwqapmqyNs,"Indigo Flight News | No Luggage, Food, Stay: IndiGo Fliers&#39; Nightmare After 500 Flights Cancelled",LEVEL_2_FRUSTRATED,12316,15
flight cancelled nightmare,TEUsyIBOfSg,https://www.youtube.com/watch?v=TEUsyIBOfSg,"IndiGo Flights | No Luggage, Food, Stay: IndiGo Fliers&#39; Nightmare After 500 Flights Cancelled",LEVEL_2_FRUSTRATED,44405,22
flight cancelled nightmare,aqQ3lU1xtKI,https://www.youtube.com/watch?v=aqQ3lU1xtKI,IndiGo Flight Cancellation: Nightmare Continues As Ops Still Far From Normal Even As Flyers Get This,LEVEL_1_AWARE,552,0
flight cancelled nightmare,NO2CGTFRWF8,https://www.youtube.com/watch?v=NO2CGTFRWF8,Flight Cancelled &amp; Sleep Deprived? A Road Trip Nightmare! #shorts,LEVEL_2_FRUSTRATED,636,0
flight cancelled nightmare,rxXzYPDl5jc,https://www.youtube.com/watch?v=rxXzYPDl5jc,"Stranded For 10+ hours, Fliers Demand Action From Indigo Airlines For Cancelled Flights",LEVEL_3_CRISIS,144841,98
flight cancelled nightmare,IrpYHo4EtzM,https://www.youtube.com/watch?v=IrpYHo4EtzM,Travel nightmare worsens as FAA cuts prompt thousands of flight disruptions,LEVEL_2_FRUSTRATED,13729,41
flight cancelled nightmare,kqKOrynmWJw,https://www.youtube.com/watch?v=kqKOrynmWJw,1000+ Flights Cancelled: Indigo to Face Probe | Vantage with Palki Sharma | N18G,LEVEL_3_CRISIS,169656,107
flight cancelled nightmare,xQGS3dp3mxc,https://www.youtube.com/watch?v=xQGS3dp3mxc,Why Indigo Flights Are Getting Cancelled?,LEVEL_2_FRUSTRATED,63982,12
flight cancelled nightmare,6yHNiYnPSd4,https://www.youtube.com/watch?v=6yHNiYnPSd4,IndiGo Airlines Meltdown | Travel Nightmare Across India,LEVEL_1_AWARE,529,0
stranded at airport,-NJwQ_I1Y_4,https://www.youtube.com/watch?v=-NJwQ_I1Y_4,"I was stranded at the airport with my newborn baby, begging for help after my flight got...",LEVEL_3_CRISIS,441050,84
stranded at airport,EajRhnfsobw,https://www.youtube.com/watch?v=EajRhnfsobw,HOUSTON AIRPORT COLLAPSED! Thousands Stranded After Government Shutdown,LEVEL_3_CRISIS,6610,111
stranded at airport,u4tVCxXeRoU,https://www.youtube.com/watch?v=u4tVCxXeRoU,"Indigo Flight Chaos: Passengers Stranded At Airport, Airline Warns Of Disruptions Till December 15",LEVEL_3_CRISIS,10205,5
stranded at airport,qVIKbEziqvc,https://www.youtube.com/watch?v=qVIKbEziqvc,My Wife Left Me &#39;Stranded&#39; at the Airport-1 Flew First-Class to Paris With His Business Partner,LEVEL_3_CRISIS,7801,18
stranded at airport,gbCkwPoxw1s,https://www.youtube.com/watch?v=gbCkwPoxw1s,"Chaos At Mumbai Airport: Passengers Stranded For Hours, No Help From IndiGo",LEVEL_3_CRISIS,3902,2
stranded at airport,0x2eKLCfaxw,https://www.youtube.com/watch?v=0x2eKLCfaxw,&#39;It&#39;s horrible&#39;: Passengers stranded at Fort Lauderdale airport as FAA cuts air traffic,LEVEL_3_CRISIS,2332,0
stranded at airport,iTcR70dyo7s,https://www.youtube.com/watch?v=iTcR70dyo7s,I was stranded at the airport for nine months. #shorts  #usa  #film  #chl51215xfzdz,LEVEL_3_CRISIS,89836,16
stranded at airport,MLOvaPGE7-U,https://www.youtube.com/watch?v=MLOvaPGE7-U,Woman #stranded at #airport by her new man and has to go back home to her #husband’ and kids,LEVEL_3_CRISIS,1541634,3308
stranded at airport,FKS9HmKVQEg,https://www.youtube.com/watch?v=FKS9HmKVQEg,"Indigo Crisis: Over 400 Flights Cancelled, Passengers Stranded At Delhi Airport | India Today Report",LEVEL_3_CRISIS,38469,95
airline lost luggage,dUJE41gq2EI,https://www.youtube.com/watch?v=dUJE41gq2EI,The Truth About Lost Luggage (What Airlines Don’t Want You to Know),LEVEL_1_AWARE,80,1
airline lost luggage,we19xN79uVU,https://www.youtube.com/watch?v=we19xN79uVU,10 Luggage Hacks Airlines Don’t Want You to Know | Smart Travel Tips 2026,LEVEL_1_AWARE,704,0
airline lost luggage,1hUGAqWiSLA,https://www.youtube.com/watch?v=1hUGAqWiSLA,10 Airport Secrets Airlines Don’t Want You to Know About Lost Luggage,LEVEL_1_AWARE,34584,6
airline lost luggage,91GGS4n1sUI,https://www.youtube.com/watch?v=91GGS4n1sUI,Where To Locate Airline Lost Luggage Help?,LEVEL_1_AWARE,1,0
