search_term,video_id,url,title,category,view_count,comment_count
quit dating apps,OdjIW8IdbIM,https://www.youtube.com/watch?v=OdjIW8IdbIM,Why Gen Z is Quitting Dating Apps,LEVEL_3_CRISIS,199876,994
quit dating apps,nmyxbCbKYg0,https://www.youtube.com/watch?v=nmyxbCbKYg0,Why Women Over 40 Should Quit Dating Apps Forever,LEVEL_3_CRISIS,4667,98
quit dating apps,DxTd6Y7nn1E,https://www.youtube.com/watch?v=DxTd6Y7nn1E,The Only Dating App You Should Be Using in 2026,LEVEL_1_AWARE,62220,522
quit dating apps,nsMZMjlHrlg,https://www.youtube.com/watch?v=nsMZMjlHrlg,🚫 NoFap &amp; Dating Apps | How it’s keeping you ADDICTED TO PORN,LEVEL_3_CRISIS,4299,93
quit dating apps,UjRAxacSfl0,https://www.youtube.com/watch?v=UjRAxacSfl0,Dating Apps Are Broken | Here&#39;s What Works Instead,LEVEL_1_AWARE,10,1
quit dating apps,06xaEhog2jc,https://www.youtube.com/watch?v=06xaEhog2jc,Y&#39;all Need To Stop Dating,LEVEL_1_AWARE,133032,760
quit dating apps,3YNVSkEXoWs,https://www.youtube.com/watch?v=3YNVSkEXoWs,Why I Quit DATING APPS Forever 🚫 #shorts #dating #datingapps #relationships #podcastclips,LEVEL_3_CRISIS,1722,0
quit dating apps,7L59YI7UCVY,https://www.youtube.com/watch?v=7L59YI7UCVY,Narcissist joins online dating,LEVEL_1_AWARE,256591,454
quit dating apps,u6B8JsuBAtU,https://www.youtube.com/watch?v=u6B8JsuBAtU,Why I Quit Dating Apps In Portugal,LEVEL_3_CRISIS,1803,51
quit dating apps,K0RWcM8USS0,https://www.youtube.com/watch?v=K0RWcM8USS0,Quit dating apps and just enjoying life and see what happens!,LEVEL_3_CRISIS,145,2
quit dating apps,HVxR-xB4LPE,https://www.youtube.com/watch?v=HVxR-xB4LPE,Dating App Burnout: Why I Quit After One Year! #shorts,LEVEL_3_CRISIS,822,0
quit dating apps,cnzpT6ngMa8,https://www.youtube.com/watch?v=cnzpT6ngMa8,They Are Turning Us Into SOCIAL MEDIA AND DATING APPS ADDICTS! QUIT NOW!,LEVEL_3_CRISIS,67,2
dating app burnout,zv17sU2NJC4,https://www.youtube.com/watch?v=zv17sU2NJC4,Dating app burnout and better alternatives,LEVEL_1_AWARE,15,0
dating app burnout,PCGd_qkFdy4,https://www.youtube.com/watch?v=PCGd_qkFdy4,dating burnout &amp; rejection #onlinedating #relationships #mentalhealth #podcast #relatable,LEVEL_1_AWARE,1483,1
dating app burnout,z5Qs9W9ABmo,https://www.youtube.com/watch?v=z5Qs9W9ABmo,Dating App Burnout? Ditch the Apps &amp; Date IRL! #shorts,LEVEL_1_AWARE,532,1
dating app burnout,cwxzahiOwlU,https://www.youtube.com/watch?v=cwxzahiOwlU,Gen Z&#39;s Dating Crisis: Why Everyone&#39;s Ghosting Each Other,LEVEL_1_AWARE,18667,259
dating app burnout,fLYKy51jIVc,https://www.youtube.com/watch?v=fLYKy51jIVc,Dating Apps Are Exhausting: Here&#39;s What&#39;s Happening,LEVEL_2_FRUSTRATED,6,1
dating app burnout,TT1UilzS-T4,https://www.youtube.com/watch?v=TT1UilzS-T4,dating app burnout 🔥,LEVEL_1_AWARE,36,3
dating app burnout,SliMHSzHWdQ,https://www.youtube.com/watch?v=SliMHSzHWdQ,What Are The Signs Of Dating App Burnout?,LEVEL_2_FRUSTRATED,0,0
dating app burnout,o2iaKyZCW4g,https://www.youtube.com/watch?v=o2iaKyZCW4g,The Burnout Machine: Why Dating Apps Are Designed to Keep You Single,LEVEL_1_AWARE,66,1
dating apps ruined dating,h9zOaIZxCus,https://www.youtube.com/watch?v=h9zOaIZxCus,Dating Apps Are Ruined!,LEVEL_1_AWARE,3156,4
dating apps ruined dating,0M6eRFauxG0,https://www.youtube.com/watch?v=0M6eRFauxG0,"Tinder RUINED Dating 🤯🤬 (Dating Apps, Online Dating)",LEVEL_1_AWARE,19015,27
dating apps ruined dating,3bcy56-x3fo,https://www.youtube.com/watch?v=3bcy56-x3fo,Attractive Men Are Being RUINED by Dating Apps (No One Talks About This),LEVEL_1_AWARE,1854,49
dating apps ruined dating,XwR1xQsVk1M,https://www.youtube.com/watch?v=XwR1xQsVk1M,This might be the end of dating apps..,LEVEL_1_AWARE,1783113,9868
dating apps ruined dating,dxxbcEGKs-c,https://www.youtube.com/watch?v=dxxbcEGKs-c,The Gen Z Dating Apocalypse,LEVEL_1_AWARE,104750,585
dating apps ruined dating,xexO37gIU94,https://www.youtube.com/watch?v=xexO37gIU94,Feminism RUINED Dating for Men,LEVEL_1_AWARE,487,14
dating apps ruined dating,QDE7Pqe7x_E,https://www.youtube.com/watch?v=QDE7Pqe7x_E,Dating Apps RUINED Relationships? Men&#39;s Dating Advice!,LEVEL_1_AWARE,62,0
dating apps ruined dating,oFLCFpWnlwI,https://www.youtube.com/watch?v=oFLCFpWnlwI,“Did Millennials Ruin Dating for Gen Z?”,LEVEL_1_AWARE,18196,210
dating apps ruined dating,gua6kOd3wMw,https://www.youtube.com/watch?v=gua6kOd3wMw,Why equality ruined modern dating #marriageadvise #datingadvice #careerwomen #mentalhealth #dating,LEVEL_1_AWARE,7,0
dating apps ruined dating,UdQjhmEk9ME,https://www.youtube.com/watch?v=UdQjhmEk9ME,"&quot;Dating Apps ruined Love, maybe&quot; - Two Sides of the South",LEVEL_1_AWARE,7,0
dating apps ruined dating,amOzgj7r8gM,https://www.youtube.com/watch?v=amOzgj7r8gM,How Dating Apps and Social Media Ruined Dating for Everyone,LEVEL_1_AWARE,131,7
dating apps ruined dating,Ml_K4ZCdxI0,https://www.youtube.com/watch?v=Ml_K4ZCdxI0,Jim Sexton: Dating Apps Are Killing &quot;Dating&quot;,LEVEL_1_AWARE,28529,183
gave up on dating apps,94-buNwqIfY,https://www.youtube.com/watch?v=94-buNwqIfY,Why Men Are Giving Up on Dating in 2025.,LEVEL_1_AWARE,24183,504
gave up on dating apps,kDZWiiLZs9A,https://www.youtube.com/watch?v=kDZWiiLZs9A,Why 63% of Men Have Given Up On Dating Women | PsyCraft Daily,LEVEL_1_AWARE,362,0
gave up on dating apps,t2jrMtVbDTQ,https://www.youtube.com/watch?v=t2jrMtVbDTQ,Why Gen Z is Giving Up on Dating (The Real Reason),LEVEL_1_AWARE,110,11
gave up on dating apps,GgVT3HzNmo0,https://www.youtube.com/watch?v=GgVT3HzNmo0,Why Gen Z Guys Are Giving Up on Dating,LEVEL_1_AWARE,8901,95
gave up on dating apps,OUNhCa5uRSc,https://www.youtube.com/watch?v=OUNhCa5uRSc,I Gave Up on Thai Dating Apps… Until I Met This Shy Girl Who Stole My Heart,LEVEL_3_CRISIS,9953,22
gave up on dating apps,0KjolwBKX5c,https://www.youtube.com/watch?v=0KjolwBKX5c,How I gave up on dating apps and tried dating mixers,LEVEL_3_CRISIS,63,3
gave up on dating apps,y_F1qnm5Dnw,https://www.youtube.com/watch?v=y_F1qnm5Dnw,Why Millions of Men Are Quietly Giving Up on Dating,LEVEL_1_AWARE,1827,19
gave up on dating apps,Ixb8XXLhDvo,https://www.youtube.com/watch?v=Ixb8XXLhDvo,How I Found Love at 64 After Giving Up on Dating Apps,LEVEL_1_AWARE,105,0
dating app fatigue,9wa2fLMDR7Y,https://www.youtube.com/watch?v=9wa2fLMDR7Y,The Truth About Dating App Fatigue &amp; Modern Love | Adulting Unadulterated | S2 Ep 4,LEVEL_1_AWARE,84165,2
dating app fatigue,KsLNiS0xONo,https://www.youtube.com/watch?v=KsLNiS0xONo,&#39;Dating app fatigue’: How young Indians are finding love offline | BBC News India,LEVEL_1_AWARE,17057,79
dating app fatigue,oLZCsjO7hqk,https://www.youtube.com/watch?v=oLZCsjO7hqk,Modern Dating Is Draining - The Psychology Behind Dating App Fatigue #swipeculture  #moderndating,LEVEL_1_AWARE,4,0
dating app fatigue,zb0gL07Rbc0,https://www.youtube.com/watch?v=zb0gL07Rbc0,Dating App Fatigue is Real  #datingapps #advicewithcraig #advice #health #relationshiptips #happy,LEVEL_1_AWARE,406,0
dating app fatigue,VFke9LqGMmQ,https://www.youtube.com/watch?v=VFke9LqGMmQ,Dating App Fatigue? Jay Shetty&#39;s Advice on Finding Love #shorts,LEVEL_2_FRUSTRATED,839,0
dating app fatigue,sLCifA51etw,https://www.youtube.com/watch?v=sLCifA51etw,Dating App Fatigue: Are Online Dates Over? #shorts,LEVEL_1_AWARE,10,0
dating app fatigue,ygRO028UQUU,https://www.youtube.com/watch?v=ygRO028UQUU,Dating App Fatigue &amp; Mental Health,LEVEL_3_CRISIS,1683,77
dating app fatigue,OAFscSfbpVU,https://www.youtube.com/watch?v=OAFscSfbpVU,Why Dating Feels Hopeless — And The One Shift That Actually Works In 2025,LEVEL_3_CRISIS,209,3
dating app fatigue,vrre7Ot6oRo,https://www.youtube.com/watch?v=vrre7Ot6oRo,Dating app fatigue is no joke 😴#moderndating #datinglife #genzdating #datingin2025belike,LEVEL_1_AWARE,958,2
dating app fatigue,cJWnyWBsUC4,https://www.youtube.com/watch?v=cJWnyWBsUC4,Are Dating Apps Ruining Dating?,LEVEL_1_AWARE,28059,56
dating app fatigue,EQa7e4QJ6zE,https://www.youtube.com/watch?v=EQa7e4QJ6zE,Dating App Fatigue,LEVEL_1_AWARE,1,0
modern dating is broken,-JP4QhaGfyU,https://www.youtube.com/watch?v=-JP4QhaGfyU,Why Dating Feels So Broken Right Now,LEVEL_1_AWARE,70870,991
modern dating is broken,xz5ku8TRYU4,https://www.youtube.com/watch?v=xz5ku8TRYU4,Modern Dating Is Broken Because SIMPs Create the HOE Market,LEVEL_1_AWARE,36468,517
modern dating is broken,Wjcm22euHtE,https://www.youtube.com/watch?v=Wjcm22euHtE,Modern Dating Is Broken… And No One Knows What They’re Doing,LEVEL_1_AWARE,17491,401
modern dating is broken,uA3LSzAgwPU,https://www.youtube.com/watch?v=uA3LSzAgwPU,Men Are Ignoring Women’s Dating Standards — Modern Dating is Broken,LEVEL_1_AWARE,19516,285
modern dating is broken,3bhozWQ2PPg,https://www.youtube.com/watch?v=3bhozWQ2PPg,Why Modern Dating Feels Broken,LEVEL_1_AWARE,15,0
modern dating is broken,CK0AFm6QTAc,https://www.youtube.com/watch?v=CK0AFm6QTAc,Why Modern Dating is Broken for Men,LEVEL_1_AWARE,1112,8
modern dating is broken,mJJ5daWfrdI,https://www.youtube.com/watch?v=mJJ5daWfrdI,Unpacking the Frustration: Why Modern Dating is Broken!,LEVEL_1_AWARE,10016,9
modern dating is broken,b4zlXn_YmQI,https://www.youtube.com/watch?v=b4zlXn_YmQI,When Women Over 35 Finally REALIZE They&#39;ve Hit The Wall,LEVEL_1_AWARE,4279,47
