date,in love with AI,AI therapy addiction,AI is sentient
2025-09-16,71,0,0
2025-09-17,99,0,0
2025-09-18,82,0,0
2025-09-19,74,0,0
2025-09-20,66,0,0
2025-09-21,88,0,0
2025-09-22,84,0,0
2025-09-23,61,0,0
2025-09-24,60,0,0
2025-09-25,90,0,0
2025-09-26,59,23,0
2025-09-27,68,0,0
2025-09-28,81,0,0
2025-09-29,69,0,0
2025-09-30,82,0,0
2025-10-01,73,0,0
2025-10-02,82,0,0
2025-10-03,54,0,0
2025-10-04,0,0,0
2025-10-05,0,0,0
2025-10-06,32,0,0
2025-10-07,77,0,0
2025-10-08,67,0,0
2025-10-09,54,0,0
2025-10-10,40,0,0
2025-10-11,0,0,0
2025-10-12,48,0,0
2025-10-13,52,0,0
2025-10-14,0,0,0
2025-10-15,33,0,0
2025-10-16,48,0,0
2025-10-17,36,0,0
2025-10-18,40,0,0
2025-10-19,62,0,0
2025-10-20,50,0,0
2025-10-21,49,0,0
2025-10-22,54,0,0
2025-10-23,64,0,0
2025-10-24,79,0,0
2025-10-25,0,0,0
2025-10-26,54,0,0
2025-10-27,36,0,0
2025-10-28,41,0,0
2025-10-29,52,0,0
2025-10-30,54,0,0
2025-10-31,50,0,0
2025-11-01,93,0,0
2025-11-02,70,0,0
2025-11-03,66,0,0
2025-11-04,48,0,0
2025-11-05,66,0,0
2025-11-06,73,0,0
2025-11-07,63,0,0
2025-11-08,76,0,0
2025-11-09,84,0,0
2025-11-10,51,0,0
2025-11-11,86,0,0
2025-11-12,81,0,0
2025-11-13,86,0,0
2025-11-14,39,0,0
2025-11-15,78,0,0
2025-11-16,55,0,0
2025-11-17,58,0,0
2025-11-18,47,0,0
2025-11-19,42,0,0
2025-11-20,74,27,0
2025-11-21,61,0,0
2025-11-22,59,0,0
2025-11-23,51,0,0
2025-11-24,36,0,0
2025-11-25,43,0,0
2025-11-26,100,0,0
2025-11-27,66,0,0
2025-11-28,61,0,0
2025-11-29,75,0,0
2025-11-30,72,0,0
2025-12-01,87,0,0
2025-12-02,25,0,4
2025-12-03,27,0,4
2025-12-04,27,3,5
2025-12-05,27,0,4
2025-12-06,26,0,5
2025-12-07,25,0,4
2025-12-08,29,0,4
2025-12-09,27,0,4
2025-12-10,28,0,4
2025-12-11,27,0,5
2025-12-12,31,0,4
2025-12-13,25,0,4
2025-12-14,26,0,3
2025-12-15,25,0,4
2025-12-16,31,0,4
