date,customer service complaints,terrible customer service
2025-09-16,57,0
2025-09-17,54,0
2025-09-18,69,0
2025-09-19,39,0
2025-09-20,54,0
2025-09-21,47,0
2025-09-22,58,0
2025-09-23,53,0
2025-09-24,56,0
2025-09-25,70,0
2025-09-26,46,0
2025-09-27,40,0
2025-09-28,0,0
2025-09-29,44,0
2025-09-30,60,0
2025-10-01,42,0
2025-10-02,59,0
2025-10-03,48,0
2025-10-04,0,0
2025-10-05,28,0
2025-10-06,37,0
2025-10-07,57,0
2025-10-08,45,0
2025-10-09,38,0
2025-10-10,49,0
2025-10-11,31,0
2025-10-12,34,0
2025-10-13,47,0
2025-10-14,36,0
2025-10-15,48,0
2025-10-16,50,0
2025-10-17,32,0
2025-10-18,0,0
2025-10-19,35,0
2025-10-20,45,0
2025-10-21,41,0
2025-10-22,52,0
2025-10-23,49,0
2025-10-24,47,0
2025-10-25,29,0
2025-10-26,0,0
2025-10-27,61,0
2025-10-28,25,0
2025-10-29,41,0
2025-10-30,61,0
2025-10-31,47,0
2025-11-01,0,0
2025-11-02,35,0
2025-11-03,47,0
2025-11-04,36,0
2025-11-05,34,0
2025-11-06,50,0
2025-11-07,62,0
2025-11-08,35,0
2025-11-09,36,0
2025-11-10,40,0
2025-11-11,51,0
2025-11-12,76,0
2025-11-13,45,0
2025-11-14,54,0
2025-11-15,37,0
2025-11-16,33,0
2025-11-17,39,0
2025-11-18,65,0
2025-11-19,42,0
2025-11-20,49,0
2025-11-21,41,0
2025-11-22,43,0
2025-11-23,33,0
2025-11-24,52,0
2025-11-25,0,0
2025-11-26,49,0
2025-11-27,31,0
2025-11-28,60,0
2025-11-29,59,0
2025-11-30,58,0
2025-12-01,100,0
2025-12-02,42,6
2025-12-03,40,7
2025-12-04,40,5
2025-12-05,40,5
2025-12-06,32,5
2025-12-07,26,5
2025-12-08,43,6
2025-12-09,47,5
2025-12-10,43,6
2025-12-11,40,7
2025-12-12,35,5
2025-12-13,26,4
2025-12-14,26,3
2025-12-15,39,5
2025-12-16,37,5
