date,cancel subscriptions,subscription fatigue,too many subscriptions
2025-09-16,61,0,0
2025-09-17,68,0,0
2025-09-18,69,0,0
2025-09-19,87,0,0
2025-09-20,100,0,0
2025-09-21,98,0,0
2025-09-22,66,0,0
2025-09-23,82,0,0
2025-09-24,81,0,0
2025-09-25,69,0,0
2025-09-26,56,0,0
2025-09-27,78,0,0
2025-09-28,67,0,0
2025-09-29,84,0,0
2025-09-30,64,0,0
2025-10-01,66,0,0
2025-10-02,75,0,0
2025-10-03,81,0,0
2025-10-04,68,0,0
2025-10-05,70,0,0
2025-10-06,67,0,0
2025-10-07,69,0,0
2025-10-08,83,0,0
2025-10-09,72,0,0
2025-10-10,78,0,0
2025-10-11,69,0,0
2025-10-12,67,0,0
2025-10-13,70,0,0
2025-10-14,71,0,0
2025-10-15,71,0,0
2025-10-16,54,0,0
2025-10-17,67,0,0
2025-10-18,91,0,0
2025-10-19,70,0,0
2025-10-20,92,0,0
2025-10-21,75,0,0
2025-10-22,64,0,0
2025-10-23,63,0,0
2025-10-24,68,0,0
2025-10-25,88,0,0
2025-10-26,77,0,0
2025-10-27,61,0,0
2025-10-28,64,0,0
2025-10-29,55,0,0
2025-10-30,79,0,0
2025-10-31,87,0,0
2025-11-01,91,0,0
2025-11-02,77,0,0
2025-11-03,90,0,0
2025-11-04,95,0,0
2025-11-05,76,15,0
2025-11-06,67,0,0
2025-11-07,66,0,0
2025-11-08,75,0,0
2025-11-09,73,0,0
2025-11-10,65,0,0
2025-11-11,61,0,0
2025-11-12,73,0,0
2025-11-13,71,0,0
2025-11-14,75,0,0
2025-11-15,75,0,0
2025-11-16,55,0,0
2025-11-17,81,0,0
2025-11-18,82,0,0
2025-11-19,79,0,0
2025-11-20,64,0,0
2025-11-21,68,0,0
2025-11-22,80,0,0
2025-11-23,75,0,0
2025-11-24,91,0,0
2025-11-25,63,0,0
2025-11-26,80,0,0
2025-11-27,63,0,0
2025-11-28,94,0,0
2025-11-29,91,0,0
2025-11-30,99,0,0
2025-12-01,99,0,0
2025-12-02,83,1,0
2025-12-03,78,1,0
2025-12-04,73,0,0
2025-12-05,67,0,0
2025-12-06,75,0,0
2025-12-07,76,2,0
2025-12-08,72,1,0
2025-12-09,69,1,1
2025-12-10,69,2,1
2025-12-11,68,0,0
2025-12-12,65,1,0
2025-12-13,71,0,0
2025-12-14,74,1,0
2025-12-15,70,1,0
2025-12-16,67,1,0
