complaint_id,product,sub_product,issue,category,date_received,narrative_snippet,metric
20483639,Debt collection,I do not know,Written notification about debt,LEVEL_1_AWARE,2026-03-21T12:00:00-05:00,,healthcare
20471002,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-21T12:00:00-05:00,,healthcare
20470794,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-21T12:00:00-05:00,,healthcare
20470706,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-21T12:00:00-05:00,,healthcare
20470648,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-21T12:00:00-05:00,,healthcare
20470646,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-21T12:00:00-05:00,,healthcare
20470315,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-21T12:00:00-05:00,,healthcare
20469555,Debt collection,I do not know,Written notification about debt,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20468360,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20468039,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20467937,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20467932,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20467822,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20466827,Debt collection,Telecommunications debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20463743,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20462177,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20462148,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20462036,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20461549,Debt collection,Telecommunications debt,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20461441,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20461435,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20461428,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20460646,Debt collection,Telecommunications debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20460553,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20460552,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20460550,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20460487,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20460444,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20460152,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20459823,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20459681,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20459491,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20458712,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20458084,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20457882,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20457470,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20457284,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20456816,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20456351,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20456348,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
20456309,Debt collection,I do not know,Written notification about debt,LEVEL_1_AWARE,2026-03-20T12:00:00-05:00,,healthcare
