complaint_id,product,sub_product,issue,category,date_received,narrative_snippet,metric
19610570,Mortgage,Conventional home mortgage,Struggling to pay mortgage,LEVEL_2_FRUSTRATED,2026-02-19T12:00:00-05:00,,housing_despair
19606881,Mortgage,VA mortgage,Struggling to pay mortgage,LEVEL_2_FRUSTRATED,2026-02-18T12:00:00-05:00,,housing_despair
19604836,Mortgage,Home equity loan or line of credit (HELOC),Struggling to pay mortgage,LEVEL_2_FRUSTRATED,2026-02-18T12:00:00-05:00,,housing_despair
19587544,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,LEVEL_1_AWARE,2026-02-18T12:00:00-05:00,,housing_despair
19587373,Mortgage,Conventional home mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-18T12:00:00-05:00,,housing_despair
19587138,Mortgage,FHA mortgage,Struggling to pay mortgage,LEVEL_2_FRUSTRATED,2026-02-18T12:00:00-05:00,,housing_despair
19571098,Mortgage,FHA mortgage,Problem with a company's investigation into an existing problem,LEVEL_1_AWARE,2026-02-17T12:00:00-05:00,,housing_despair
19565633,Mortgage,Other type of mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-17T12:00:00-05:00,,housing_despair
19563785,Mortgage,Home equity loan or line of credit (HELOC),Struggling to pay mortgage,LEVEL_2_FRUSTRATED,2026-02-17T12:00:00-05:00,,housing_despair
19555042,Mortgage,Conventional home mortgage,Problem with a company's investigation into an existing problem,LEVEL_1_AWARE,2026-02-17T12:00:00-05:00,,housing_despair
19553000,Mortgage,Conventional home mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-17T12:00:00-05:00,,housing_despair
19552402,Mortgage,Reverse mortgage,Closing on a mortgage,LEVEL_1_AWARE,2026-02-17T12:00:00-05:00,,housing_despair
19551525,Mortgage,FHA mortgage,Closing on a mortgage,LEVEL_1_AWARE,2026-02-17T12:00:00-05:00,,housing_despair
19550203,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,LEVEL_1_AWARE,2026-02-17T12:00:00-05:00,,housing_despair
19545414,Mortgage,Conventional home mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-17T12:00:00-05:00,,housing_despair
19527091,Mortgage,Conventional home mortgage,Closing on a mortgage,LEVEL_1_AWARE,2026-02-16T12:00:00-05:00,,housing_despair
19520191,Mortgage,Home equity loan or line of credit (HELOC),Struggling to pay mortgage,LEVEL_2_FRUSTRATED,2026-02-16T12:00:00-05:00,,housing_despair
19519507,Mortgage,FHA mortgage,Struggling to pay mortgage,LEVEL_2_FRUSTRATED,2026-02-16T12:00:00-05:00,,housing_despair
19519004,Mortgage,Conventional home mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-16T12:00:00-05:00,,housing_despair
19518807,Mortgage,FHA mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-16T12:00:00-05:00,,housing_despair
19518265,Mortgage,VA mortgage,Applying for a mortgage or refinancing an existing mortgage,LEVEL_1_AWARE,2026-02-16T12:00:00-05:00,,housing_despair
19574689,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,LEVEL_1_AWARE,2026-02-15T12:00:00-05:00,,housing_despair
19513513,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,LEVEL_1_AWARE,2026-02-15T12:00:00-05:00,,housing_despair
19510949,Mortgage,FHA mortgage,Closing on a mortgage,LEVEL_1_AWARE,2026-02-15T12:00:00-05:00,,housing_despair
19509692,Mortgage,FHA mortgage,Struggling to pay mortgage,LEVEL_2_FRUSTRATED,2026-02-14T12:00:00-05:00,,housing_despair
19509519,Mortgage,FHA mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-14T12:00:00-05:00,,housing_despair
19507044,Mortgage,FHA mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-14T12:00:00-05:00,,housing_despair
19504765,Mortgage,Conventional home mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-14T12:00:00-05:00,,housing_despair
19502044,Mortgage,Manufactured home loan,Applying for a mortgage or refinancing an existing mortgage,LEVEL_1_AWARE,2026-02-14T12:00:00-05:00,,housing_despair
19496395,Mortgage,Conventional home mortgage,Trouble during payment process,LEVEL_1_AWARE,2026-02-13T12:00:00-05:00,,housing_despair
