title,url,points,num_comments,category,created_at,search_term,metric
'Can't sell house' searches are higher now than during the 2008 housing crisis,https://www.morningstar.com/news/marketwatch/20260228147/cant-sell-house-searches-are-higher-now-than-during-the-2008-housing-crisis,14,13,LEVEL_3_CRISIS,2026-03-01T14:27:16Z,housing crisis,housing_despair
Why Building Alone Won't Solve the Housing Crisis,https://www.nytimes.com/2026/02/05/realestate/affordable-housing-insurance-studies.html,6,2,LEVEL_3_CRISIS,2026-02-05T20:22:33Z,housing crisis,housing_despair
The double standards driving our housing crisis,https://www.vox.com/future-perfect/476647/housing-crisis-affordability-building-codes-yimby,6,1,LEVEL_3_CRISIS,2026-02-04T20:36:32Z,housing crisis,housing_despair
Housing crisis is forcing Americans to choose between affordability and safety,https://theconversation.com/the-housing-crisis-is-forcing-americans-to-choose-between-affordability-and-safety-266136,3,0,LEVEL_3_CRISIS,2025-12-22T14:50:10Z,housing crisis,housing_despair
The Most Concrete Indicator of a Housing Crisis,https://shonczinner.substack.com/p/the-most-concrete-indicator-of-a,2,2,LEVEL_3_CRISIS,2026-02-20T01:18:00Z,housing crisis,housing_despair
Deregulation is not the answer to the affordable housing crisis,https://48hills.org/2026/01/new-study-shows-that-deregulation-is-not-the-answer-to-the-affordable-housing-crisis/,2,1,LEVEL_3_CRISIS,2026-01-23T17:36:46Z,housing crisis,housing_despair
What the Twin Cities Tell Us About Fixing the Housing Crisis,https://www.wsj.com/real-estate/minnesota-rent-control-regulation-prices-34221bd4,2,1,LEVEL_3_CRISIS,2025-12-15T18:28:23Z,housing crisis,housing_despair
The Housing Crisis as a Land Crisis,https://progressandpoverty.substack.com/p/the-housing-crisis-as-a-land-crisis,1,1,LEVEL_3_CRISIS,2026-02-10T17:31:17Z,housing crisis,housing_despair
Surviving large migrations: Metrolink and the housing crisis,https://thesidedish.flipdish.com/surviving-large-migrations-metrolink-and-the-housing-crisis-5839c2e75279,1,0,LEVEL_3_CRISIS,2026-02-27T16:09:46Z,housing crisis,housing_despair
Show HN: Modeling the US Debt as a Healthcare Pricing Failure ($26T Gap),https://taprootlogic.substack.com/p/the-us-debt-crisis-a-52-trillion,4,2,LEVEL_1_AWARE,2025-12-17T18:53:58Z,housing crisis,housing_despair
Show HN: Situation Tracker – real-time crisis dashboard,https://www.situationtracker.xyz/,2,0,LEVEL_3_CRISIS,2026-03-01T17:02:20Z,housing crisis,housing_despair
AI Automation,https://news.ycombinator.com/item?id=46444061,1,0,LEVEL_1_AWARE,2025-12-31T13:57:07Z,can't afford home,housing_despair
Show HN: GrahamBell – This is what Bitcoin mining looked like in 2009,https://news.ycombinator.com/item?id=46885212,3,0,LEVEL_1_AWARE,2026-02-04T12:48:11Z,can't afford home,housing_despair
Show HN: Open-source expense and budget tracker with SQL API for AI agents,https://github.com/kirill-markin/expense-budget-tracker,1,0,LEVEL_1_AWARE,2026-03-02T09:53:58Z,can't afford home,housing_despair
Ask HN: When do you expect ChatGPT moment in robotics?,https://news.ycombinator.com/item?id=47213310,7,11,LEVEL_1_AWARE,2026-03-02T02:53:02Z,can't afford home,housing_despair
Show HN: GHOSTYPE – AI voice input that learns your writing style,https://news.ycombinator.com/item?id=46971643,1,1,LEVEL_1_AWARE,2026-02-11T06:35:56Z,can't afford home,housing_despair
Oracle's Rent Is Too Darn High,https://www.bloomberg.com/opinion/newsletters/2025-12-16/oracle-s-248-billion-rent-is-too-darn-high,2,0,LEVEL_1_AWARE,2025-12-17T05:52:50Z,rent too high,housing_despair
Tell HN: I cut Claude API costs from $70/month to pennies,https://news.ycombinator.com/item?id=46760285,40,30,LEVEL_1_AWARE,2026-01-26T00:34:17Z,rent too high,housing_despair
Ask HN: Cursor (LLM) Costs,https://news.ycombinator.com/item?id=46581528,1,2,LEVEL_1_AWARE,2026-01-11T23:16:05Z,rent too high,housing_despair
Show HN: I built a forensic accounting tool for high-conflict litigation,https://exitprotocols.com/,2,1,LEVEL_1_AWARE,2026-01-05T16:42:10Z,rent too high,housing_despair
