search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category,notes
never own a home,x1CF4eGJNHE,https://www.youtube.com/watch?v=x1CF4eGJNHE,Why You’ll Never Own a Home (The System Is Rigged),The average Gen Z worker needs 15 YEARS to save for a down payment. Boomers needed 3 years. This is the math that broke ...,2025-12-03,1022,system is rigged,LEVEL_1_AWARE,
never own a home,eMp-qA3zkc0,https://www.youtube.com/watch?v=eMp-qA3zkc0,Why Gen Z Will Never Own A Home (It&#39;s No Accident),Sign up for My Data Removal today to help protect yourself from data brokers and identity thieves: ...,2026-01-06,1059,will never own,LEVEL_3_CRISIS,
never own a home,UB26R_5KFF4,https://www.youtube.com/watch?v=UB26R_5KFF4,Why You Will Never Own a Home - It’s Not An Accident,"Why You Can't Buy a House in 2025 - It's Not Just Inflation Does it feel like the finish line keeps moving? You save, you work ...",2025-12-20,1808,will never own,LEVEL_3_CRISIS,
never own a home,MWntBi_3x5Q,https://www.youtube.com/watch?v=MWntBi_3x5Q,The Property Tax Trap (Part 1): You Never Really Own Your Home.,"Buy me a coffee https://coff.ee/offendedoutcast Your home was supposed to be safety, but property tax turned it into a bill you ...",2025-12-04,5312,,LEVEL_1_AWARE,
never own a home,otGZVYY3ELY,https://www.youtube.com/watch?v=otGZVYY3ELY,Why Can&#39;t Gen Z Afford Homes?,"The home ownership crisis runs deeper than most people realize, especially for Gen Z. Housing prices have skyrocketed, and ...",2026-01-03,18469,,LEVEL_1_AWARE,
never own a home,IybgT9Ju8dA,https://www.youtube.com/watch?v=IybgT9Ju8dA,Why You Will Never Own a Home in Your Lifetime ?,Why You Will Never Own a Home in Your Lifetime ? You did everything right. Got the degree. Landed the job. Saved every penny.,2025-12-07,134,will never own,LEVEL_3_CRISIS,
never own a home,GrF1MDQ-T0g,https://www.youtube.com/watch?v=GrF1MDQ-T0g,The Housing Market Scam: Why You Will Never Own a Home 🏠📉,The American Dream is dead. The Housing Market Scam: Why You Will Never Own a Home Your grandpa bought a ...,2025-11-27,46,"will never own, dream is dead",LEVEL_3_CRISIS,
never own a home,FXjZl0asnUk,https://www.youtube.com/watch?v=FXjZl0asnUk,Why Most Americans Will Never Own a Home,"Owning a home used to be the American Dream — now it feels impossible for millions. In this video, we break down the real ...",2026-01-24,6,will never own,LEVEL_3_CRISIS,
never own a home,q2qQsECAQ9o,https://www.youtube.com/watch?v=q2qQsECAQ9o,Why You Will Never Own a Home - And Why You Shouldn&#39;t,"Why You Will Never Own a Home - And Why You Shouldn't Why has the ""American Dream"" of homeownership mutated into a ...",2025-12-26,712,will never own,LEVEL_3_CRISIS,
never own a home,BdN7wVBgd6Y,https://www.youtube.com/watch?v=BdN7wVBgd6Y,"YOU WILL NEVER OWN A HOME, AMERICANS HAVE LOST HOPE, THEY ILL EVER BE ABLE TO AFFORD TO BUY A HOMR","In this economic/financial news report we discuss the American dream, or in some cases, nightmare of homeownership, buying a ...",2025-12-07,4081,will never own,LEVEL_3_CRISIS,
