search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category
laid off tech 2025,VeMA9WGKxOg,https://www.youtube.com/watch?v=VeMA9WGKxOg,"Laid Off After 25 Years in Tech: The Anxiety, Sacrifice, and Reality No One Talks About",layoffs2025 #softwareengineer #bigtech #developerlife What happens when a 25-year career in Big Tech suddenly ends? In this ...,2025-12-19,1041234,anxiety,LEVEL_1_AWARE
laid off tech 2025,CakE9HmhzS0,https://www.youtube.com/watch?v=CakE9HmhzS0,18 months after I got laid off in tech (4 Harsh Lessons I learned in 2025),Discover how to make $8000 a month in tech: https://letphil.com/ Let Phil's FREE Community Discord Channel: ...,2026-01-01,23436,,LEVEL_1_AWARE
laid off tech 2025,doAYGVG7xxA,https://www.youtube.com/watch?v=doAYGVG7xxA,"Laid Off After 25 Years in Tech: The Anxiety, Sacrifice, and Reality No One Talks About",2025 has been one of the worst years for layoffs going all the way back to 2008 with over 14 million jobs lost this year.,2025-12-28,120342,anxiety,LEVEL_1_AWARE
laid off tech 2025,2mA4vZeHp8o,https://www.youtube.com/watch?v=2mA4vZeHp8o,"After the Big Tech Layoff: Brutal Interviews, Early Retirement Fears, and What Comes Next","layoffs2025 #softwareengineer #bigtech #developerlife After being laid off from a Big Tech company in his mid-40s, ...",2025-12-29,229139,,LEVEL_1_AWARE
laid off tech 2025,LNJPnQFRZmQ,https://www.youtube.com/watch?v=LNJPnQFRZmQ,WTF is Wrong with the Tech Job Market in 2026 ?,"Layoffs keep making headlines. Entry-level roles are disappearing. And yet, companies are still hiring aggressively for AI, cloud, ...",2026-01-18,59348,,LEVEL_1_AWARE
laid off tech 2025,v-0gG_NDDX0,https://www.youtube.com/watch?v=v-0gG_NDDX0,Why Mass Holiday Layoffs Are Getting WORSE in 2025,2nd Channel @ZacV2 Compilation Channel @TheZacRiosShow My TikTok https://www.tiktok.com/@zacrios?,2025-12-18,397193,,LEVEL_1_AWARE
laid off tech 2025,O8f21DH5FdU,https://www.youtube.com/watch?v=O8f21DH5FdU,Layoffs In 2026 Will Be FAR WORSE Than 2025 | Here&#39;s Why,Layoffs In 2026 Will Be FAR WORSE Than 2025 | Here's Why Popular Video Content: US News: - http://bit.ly/USworldnews ...,2025-12-20,22115,,LEVEL_1_AWARE
laid off tech 2025,E5VQ1nd-sIs,https://www.youtube.com/watch?v=E5VQ1nd-sIs,"25 Years in Tech, Now Laid Off: Honest Advice for Junior Engineers in a Brutal Job Market",I'm a software engineer with 25 years in the tech industry and I'm currently unemployed after being laid off from Big Tech. Lately ...,2026-01-07,188707,,LEVEL_1_AWARE
laid off tech 2025,WxhqmxDW770,https://www.youtube.com/watch?v=WxhqmxDW770,I Got Laid Off From Block — My Second Layoff in Months | The Reality of Tech in 2026,I was laid off from Block yesterday — just weeks into the job. This is my second layoff in a matter of months after Microsoft. In this ...,2026-02-27,91547,,LEVEL_1_AWARE
laid off tech 2025,4NSr9NEtufk,https://www.youtube.com/watch?v=4NSr9NEtufk,Mass Layoffs in Tech: I Survived Them for 25 Years—Until I Didn’t,"Mass layoffs are sweeping through the tech industry again. Over the last week alone, tens of thousands of engineers, designers, ...",2026-02-02,63999,,LEVEL_1_AWARE
job search nightmare,sm9gE1sq1jg,https://www.youtube.com/watch?v=sm9gE1sq1jg,Episode 20: Job Search NIGHTMARE?! The Truth About AI &amp; LinkedIn Revealed,"Buckle up, because this episode is absolute chaos! Hosted by Superlative Sain, Ronn Lezama, and JJwlz, this podcast dives into ...",2025-12-17,0,,LEVEL_1_AWARE
job search nightmare,9R2Y2CGLRn8,https://www.youtube.com/watch?v=9R2Y2CGLRn8,Blacklisted for a Misdemeanor? My Job Search Nightmare #shorts,"Former journalist facing job rejections due to a past misdemeanor. Background checks reveal the charge, leading to ...",2026-02-17,4,,LEVEL_1_AWARE
job search nightmare,zzKpeQnV55E,https://www.youtube.com/watch?v=zzKpeQnV55E,My Job Search Nightmare?! #shorts,"Feeling overqualified yet can't land a job. Savings depleted, relying on parents. Background checks, NDAs, and a complex legal ...",2026-02-28,532,overqualified,LEVEL_2_STRUGGLING
job search nightmare,QtT_N0HZV5M,https://www.youtube.com/watch?v=QtT_N0HZV5M,Hiring Nightmare: Why AI Kills Your Job Search #shorts,"200 applications, zero response. AI screens you out, companies ghost you. For most, unemployment isn't enough. How do you ...",2026-03-02,728,,LEVEL_1_AWARE
hundreds of applications no response,UDTWIZEnFZc,https://www.youtube.com/watch?v=UDTWIZEnFZc,"100+ Job Applications, Zero Replies","Applied to 100+ jobs but no response is one of the most searched problems by freshers and job seekers today, and the main ...",2025-12-24,81,no response,LEVEL_2_STRUGGLING
hundreds of applications no response,_ynY6knK_NU,https://www.youtube.com/watch?v=_ynY6knK_NU,Sent 100 Job Applications and Still No Replies?,You know that feeling when you've sent 100+ job applications... and your inbox still looks like: 0 updates. 0 replies. 0 callbacks.,2026-02-23,240,,LEVEL_1_AWARE
hundreds of applications no response,B4yx8qnOg1U,https://www.youtube.com/watch?v=B4yx8qnOg1U,"200 Applications, No Replies? Your Job Search Workflow Is Broken",Get the Job Application Prompt Pack (2026) → http://imojo.in/9uIAlW Job Application Prompt Pack (2026) A ready-to-use set of ...,2026-01-18,7092,,LEVEL_1_AWARE
