uri,text,author_handle,like_count,reply_count,repost_count,category,created_at,search_term,metric
at://did:plc:wllajaihnqrivbhxouer4jqz/app.bsky.feed.post/3mjsdm24oqk26,"Thanks for acknowledging that! Fair pricing also helps address subscription fatigue. If you're not using it, you shouldn't pay for it.",kagi.com,15,0,0,LEVEL_1_AWARE,2026-04-18T21:03:00.323Z,subscription fatigue,subscription_overload
at://did:plc:fcjospdjul3t7bvqbg3ynip3/app.bsky.feed.post/3mjopfqoxnc25,"Hi Bluesky! I edit Product Impossible, where I write about indie software sustainability, subscription fatigue, and what makes some tools last while others quietly degrade. Based in Poland. Looking forward to nerding out with all of you about the software we depend on every day.",sebakubisz.bsky.social,2,0,0,LEVEL_1_AWARE,2026-04-17T10:23:35.057Z,subscription fatigue,subscription_overload
at://did:plc:6fnzney5yhgjcbw664awibcm/app.bsky.feed.post/3mj4amxuuzk2d,"-not everything needs to be a subscription
-2FA for everything means better security but more rapid decision fatigue
-regular apple pie is better than apple crumble
-burnout should qualify for medical leave
-iPods are great
-it is fine to eat ravioli plain
-more people should exfoliate in the shower",karenho.bsky.social,236,13,21,LEVEL_1_AWARE,2026-04-10T02:11:16.051Z,subscription fatigue,subscription_overload
at://did:plc:m7ks2xhfuku7errrtfjux2lg/app.bsky.feed.post/3mij36nk45327,Thorne is on pace for $650 million in sales as Gen Z fuels a supplement boom — despite subscription fatigue,cnbc.com,5,0,0,LEVEL_1_AWARE,2026-04-02T11:13:11Z,subscription fatigue,subscription_overload
at://did:plc:gwtci6b4lmze7i4g7a67n6zc/app.bsky.feed.post/3mijbhdk6422i,Forgot I wrote this. The problem is not subscription fatigue. The problem is expecting a platform to run your business,lexroman.com,3,1,1,LEVEL_1_AWARE,2026-04-02T13:05:25.672Z,subscription fatigue,subscription_overload
at://did:plc:vbygzolacczoskmxgfdd5fc6/app.bsky.feed.post/3mic3j7l7bc2p,"I'm not renewing my #photoshop plan. Call it subscription fatigue or whatever, but there's too little innovation and too much of a push to A! to justify the cost. I'll be using #blender to edit and render videos, and I'm going to test Photopea and Affinity as alternatives for creating cover images.",theburntsunset.bsky.social,2,1,0,LEVEL_1_AWARE,2026-03-30T16:30:28.001Z,subscription fatigue,subscription_overload
at://did:plc:ulu2www2epciwhcpfbq3hc4n/app.bsky.feed.post/3mi66wgwezs2n,"subscription, create an account and download the app fatigue",peachyaqua.blacksky.app,18,1,5,LEVEL_1_AWARE,2026-03-29T03:20:54.188Z,subscription fatigue,subscription_overload
at://did:plc:5u54z2qgkq43dh2nzwzdbbhb/app.bsky.feed.post/3mi3xhmviar26, Are you suffering from ‘subscription fatigue’? ft.trib.al/C4ek9Gz  | opinion,financialtimes.com,13,3,1,LEVEL_1_AWARE,2026-03-28T06:02:01.251300Z,subscription fatigue,subscription_overload
at://did:plc:sxttw4f3ket2uyrrtc5ou4n2/app.bsky.feed.post/3mhwmdgssfk23,"It's really the ongoing monthly subscriptions that help the most with simply being able to get on with the work and not spending all our time selling 

But for people with subscription fatigue, we do also have episodes and bundles at the ""shop"" tab
patreon.com/lingthusiasm/shop",gretchenmcculloch.com,18,3,0,LEVEL_1_AWARE,2026-03-26T02:59:31.014Z,subscription fatigue,subscription_overload
at://did:plc:aniime4xa5654ghgpy6xgjpm/app.bsky.feed.post/3mg45vx5fhw2c,"This turned into a really practical discussion in CEO Society about one-time-purchase editors, background removal tools, and realistic alternatives to Photoshop. If you’re done with subscription fatigue, the thread’s here: buff.ly/rEzX8UU",sexworkceo.bsky.social,2,0,0,LEVEL_1_AWARE,2026-03-02T21:07:01.154Z,subscription fatigue,subscription_overload
