search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category,notes
subscription fatigue,pc4MgspmiUs,https://www.youtube.com/watch?v=pc4MgspmiUs,Subscription Fatigue Is Bleeding Americans Dry,Subscription Fatigue Is Bleeding Americans Dry Popular Video Content: US News: - http://bit.ly/USworldnews Stocks ...,2025-12-16,8637,,LEVEL_1_AWARE,
subscription fatigue,_gFZlavRrgM,https://www.youtube.com/watch?v=_gFZlavRrgM,Everything’s a Subscription Now 😡,"Subscription fatigue, gaming news, streaming rant, Xbox Game Pass price increase, Netflix, Hulu, Microsoft, corporate greed, ...",2025-10-16,535,,LEVEL_1_AWARE,
subscription fatigue,UvOCgHMTk5Q,https://www.youtube.com/watch?v=UvOCgHMTk5Q,Dollars &amp; Sense: Subscription Fatigue – You Want Me to Pay for What?,"Last month we did a story on streaming fatigue, the idea that streaming platforms, launched initially as inexpensive add-ons to ...",2025-11-18,62,,LEVEL_1_AWARE,
subscription fatigue,k_foozZdRW0,https://www.youtube.com/watch?v=k_foozZdRW0,WTF episode 26 Subscription Fatigue,This episode looks at subscription fatigue and how easily people lose track of automatic payments. Angela Heise explains how ...,2025-12-10,9,,LEVEL_1_AWARE,
subscription fatigue,d_Pv3XwSaX0,https://www.youtube.com/watch?v=d_Pv3XwSaX0,Watching Your Wallet: Subscription fatigue,"Well, you might be feeling it, subscription fatigue. That's being tired of all the little costs that add up. For more Local News from ...",2025-10-21,29,,LEVEL_1_AWARE,
subscription fatigue,Bi9e1gRAcQU,https://www.youtube.com/watch?v=Bi9e1gRAcQU,Watching Your Wallet: Subscription Fatigue,Watching Your Wallet: Subscription Fatigue For more Local News from KFYR: https://www.kfyrtv.com/ For more YouTube Content: ...,2025-10-15,6,,LEVEL_1_AWARE,
subscription fatigue,Lz3ViMWdawQ,https://www.youtube.com/watch?v=Lz3ViMWdawQ,Subscription fatigue is finally come for the NBA… and my wallet. #nba #basketball #expensive,,2025-10-27,584,,LEVEL_1_AWARE,
subscription fatigue,RokhIiPkI-I,https://www.youtube.com/watch?v=RokhIiPkI-I,Fighting subscription fatigue,Subscription prices are continuing to rise and many people not only frustrated but also in a bind For more Local News from WBTV: ...,2025-10-14,199,,LEVEL_1_AWARE,
subscription fatigue,8_RjoDYdNWA,https://www.youtube.com/watch?v=8_RjoDYdNWA,Subscription fatigue leading some to unsubscribe,"They start small — just a few dollars a month — but before long, subscriptions can quietly drain hundreds from your wallet.",2025-10-07,73,,LEVEL_1_AWARE,
subscription fatigue,v-t8UtdFKto,https://www.youtube.com/watch?v=v-t8UtdFKto,Subscription fatigue is real people! #gamingcommunity #podcast #gaming #xbox #gamepass,,2025-10-14,281,,LEVEL_1_AWARE,
subscription fatigue,FkmGjA3L7tg,https://www.youtube.com/watch?v=FkmGjA3L7tg,The $273 Subscription Trap: 5 Ways to Beat Fatigue &amp; Boost ARR,"In this video, Akhil breaks down the hidden truth behind subscription fatigue and why it's not a consumer problem, but a pricing ...",2025-11-24,12,,LEVEL_1_AWARE,
subscription fatigue,Po7iUT8drss,https://www.youtube.com/watch?v=Po7iUT8drss,"Top 5 Modern Problems That Shouldn’t Exist (Password Fatigue, Subscription Burnout &amp; More) #shorts","We live in the future — AI, self-driving cars, and smart tech everywhere — yet we're still stuck with the dumbest problems.",2025-10-24,663,,LEVEL_1_AWARE,
subscription fatigue,b9hk9YzahzQ,https://www.youtube.com/watch?v=b9hk9YzahzQ,Rethinking AI Pricing: Moving Beyond Subscription Fatigue,Get the most recent Practical AI Playbooks to Use Today: https://pagemotor.com/email-list/ And Watch LIVE every Friday at 11am ...,2025-10-29,57,,LEVEL_1_AWARE,
subscription fatigue,EvwE2-QIojI,https://www.youtube.com/watch?v=EvwE2-QIojI,Why Is Subscription Fatigue Hitting Gen Z Streaming Culture? - Gen Z Unfiltered,Why Is Subscription Fatigue Hitting Gen Z Streaming Culture? Have you ever wondered why so many young people are feeling ...,2025-10-27,6,,LEVEL_1_AWARE,
subscription fatigue,tz9PQCq44ik,https://www.youtube.com/watch?v=tz9PQCq44ik,"The Subscription Economy is Breaking: Why Fatigue, and Click-to Cancel are Changing Everything","The Subscription Economy is Breaking: Why Fatigue, Churn, and 'Click-to-Cancel' Are Changing Everything Are you ...",2025-12-14,62,,LEVEL_1_AWARE,
too many subscriptions,-WI6TVBcw_0,https://www.youtube.com/watch?v=-WI6TVBcw_0,Too many subscriptions draining your wallet?,"Too many subscriptions draining your wallet? Track, review, and cut the ones you don't use — all in one place. Stay in control ...",2025-10-10,95,,LEVEL_1_AWARE,
too many subscriptions,lxJG6FBo9h8,https://www.youtube.com/watch?v=lxJG6FBo9h8,Microsoft f*cked up real bad..,Asmongold Clips / Asmongold Reacts To: Microsoft just revamped Xbox Game Pass plans and massively hiked Ultimate to $29.99 ...,2025-10-02,2383779,,LEVEL_1_AWARE,
too many subscriptions,R8sMY0QD6jU,https://www.youtube.com/watch?v=R8sMY0QD6jU,Too Many Subscriptions   30sec ACIS Spec Ad,This is a completely spec ad for ASICS. We've been testing a number of AI tools and here's what we produced. This is all AI ...,2025-11-30,80,,LEVEL_1_AWARE,
too many subscriptions,0N0VGGTDFhE,https://www.youtube.com/watch?v=0N0VGGTDFhE,Dont really need a brand new car! Too many subscriptions. #game #knowledge,,2025-10-19,902,,LEVEL_1_AWARE,
too many subscriptions,BJteDn8dOuo,https://www.youtube.com/watch?v=BJteDn8dOuo,My Reaction I Got You have too many subscriptions compared to your number of subscribers Again L,,2025-12-11,118,,LEVEL_1_AWARE,
